,Expressions,Kulvi,Dogri,Garhwali,Kumaoni,Gaddi,Konkani,Nepali,Kudmali,Bengali,Assamese,Marwari,Punjabi,Oriya,Kashmiri,Marathi,Gujarati,Sindhi,Pahari,Nagpuri,Wagdi,Bajjika,Sanskrit,Panchpargania,Sylheti,Urdu,Halbi,Khortha,Rajbonshi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP1,First,pɛlɑ,pɛlɑ,pehlu,pehlɑ,pɛlɑ,pəjlɛ̃,prətʰəm,mir,prot̪om,prɒt̪ʰɒm,pɛlo,pehlɑ,prətʰ̪əmə,ɡʋəɖnjuk,pəhɪlɑ,pehlʊ,pero,ekmɑ,pehlɑ,pelo,pəhilɑ,prətʰəməh(M)/prətʰəmɑ(F)/prətʰməm(N),pəhlɑ,fort̪om,pehlɑ,pəhil,pehlɑ,potʰom
LP2,Second,duǰǰɑ,duʋɑ,dusru,dusrɑ,duɑ,d̪usrɛ̃,ditijə,dusrɑ,d̪ɪt̪io,d̪rɪt̪ɪɒ,duɟ̌o,d̪uǰɑ,d̪ɪt̪ɪjə,d̪oɪjəm,d̪usrɑ,bɪǰʊ,beo,duɑ,dusrɑ,biǰo,dusrɑ,dʋitijəh/dʋitijɑ/dʋitijəm,dusrɑ,d̪it̪ijo,dusrɑ,dusər,dusrɑ,ditijo
LP3,Third,triǰɑ,trijɑ,tisru,tisrɑ,trijɑ,t̪ɪsrɛ̃,tritijə,-,t̪rɪt̪io,t̪rɪt̪ɪɒ,tɪɟ̌o,t̪ɪǰɑ,t̪rut̪ɪjə,t̪reɪjəm,t̪ɪsrɑ,t̪ɪǰʊ,ʈɪo,trijɑ,tisrɑ,tisro,tisrɑ,tritijəh/tritijɑ/tritijəm,tisrɑ,t̪rit̪ijo,tisrɑ,tisər,tisrɑ,titijo
LP4,Fourth,čɔutʰɑ,čotʰɑ,čotʰu,čotʰɑ,čotʰɑ,t͡səvt̪ɛ̃,tʃəturtʰ,-,čot̪urt̪ʰo,sot̪ʊrt̪ʰ,čoʈʰo,čəut̪ʰɑ,čət̪urt̪ʰə,tʃurjem,čəʊt̪ʰɑ,čɔʊt̪ʰu,čot̪ʰo,čotʰɑ,čɔtʰɑ,čɔtʰo,čəutʰɑ,čəturtʰəh/čəturtʰɑ/čəturtʰəm,cəutʰɑ,sot̪urt̪ʰo,tʃotʰɑ,čəʋtʰɑ,čɔtʰɑ,čotutʰo
LP5,Fifth,põnǰʋɑ̃,pəimɑ,pɑ̃ču,pɑ̃čʋɑ,pəimɑ,pɑ̃t͡səvɛ̃,pɑ̃tʃõ,-,pɔnčom,pɑ:s nɒmbor,pɑ̃nčvo,pənǰʋɑ̃,pənčəmə,pũtʃjəm,pɑ̃nčʋɑ,pɑ̃nčmʊ,pənǰo,pənǰmɑ,pɑ̃čʋɑ,pɑčʋo,pəčmɑ,pə̃nčməh/pə̃nčmɑ/pə̃nčməm,pɑ̃cʋɑ̃,fɔncom,pɑ̃tʃʋɑ̃,pɑ̃čʋɑ̃,pɑ̃nčʋɑ,pončom
LP6,Sixth,čʰəuʋɑ̃,šədmɑ,čʰəʈu,čʰəʈɑ,čʰemmɑ,səvvɛ̃,ʃɛʈõ,-,šɔštom,soɪ nɒmbor,čʰəʈʰo,ʃeʋɑ̃,səsʈʰə,šəɪjəm,šɑhʋɑ,čʰəʈʈʰʊ,čəo,čʰemmɑ,čʰəʈʋɑ,čʰəʈʈo,čʰəʈʈɑ,ʂəsʈəh/ʂəsʈʰəmɑ/ʂəsʈʰəm,čʰəʈɑ̃,ʃɔʃʈʰo,tʃʰəʈɑ,čʰəʈʋɑ̃,čʰəʈʈʰɑ,čʰosʈom
LP7,Seventh,sɔtuʋɑ̃,sətmɑ,sətu,sətʋɑ,sətuʋɑ,sɑt̪vɛ̃,sɑtõ,-,šɔptom,hɑ:t nɒmbor,sɑ:təvo,sət̪ʋɑ̃,səpt̪əmə,səɪt̪jəm,šɑt̪t̪ʋɑ,sət̪mʊ,sət̪t̪o,sətmɑ,sətʋɑ,sɑtʋo,sətmɑ,səptəməh/səptəmɑ/səptəməm,sɑtʋɑ̃,ʃɔpt̪ɔm,sɑtʋɑ̃,sɑtʋɑ̃,sɑtʋɑ,sɔptom
LP8,Eighth,əʈʰuʋɑ̃,əʈʰmɑ,əʈʰu,əʈʰʋɑ,əʈʰʋɑ,ɑʈvɛ̃,ɑʈʰõ,-,ɔštom,ɑʈʰ nɒmbor,ɑ:ʈʰvo,əʈʰʋɑ̃,əsʈəmə,u:ʈʰəjəm,ɑ:ʈʰʋɑ,ɑ:ʈʰmʊ,əʈʰo,əʈʰmɑ,əʈʰʋɑ,ɑʈʰʋo,əʈʰmɑ,əsʈəməh/əsʈəmɑ/əsʈəməm,ɑʈʰʋɑ̃,ɔʃʈɔm,ɑʈʰʋɑ̃,ɑʈʋɑ̃,ɑʈʰʋɑ,ɔsʈom
LP9,Nineth,nɔuʋɑ̃,nɔmɑ,nəu,nɔʋɑ,nomɑ,ɳəvvɛ̃,nɔʋõ,-,nɔbom,nɒ nɒmbor,nəvo,nɔʋɑ̃,nəʋəmə,nəijəm,nəuʋɑ,nəʋmʊ,nəʋo,nommɑ,nɔʋɑ,nəʋo,nɔmɑ,nəʋəməh/nəʋmɑ/nəʋməm,nɔʋɑ̃,nɔbom,nɔʋɑ̃,nəʋɑ̃,nɔʋɑ,nobom
LP10,Tenth,dəsʋɑ̃,dəsmɑ,dəsu,dəsʋɑ,dəsmɑ,dʰɑvɛ̃,dəsʋõ,-,d̪ɔšom,d̪ɒh nɒmbor,dəsvo,d̪əsʋɑ̃,d̪əsəmə,d̪əhjəm,d̪ɑhʋɑ,d̪əsmʊ,ɖəo,dəsmɑ,bəsʋɑ,dəsʋo,dəsmɑ,dəʃməh/dəʃmɑ/dəʃməm,dəsʋɑ̃,d̪ɔʃom,dəsʋɑ̃,dəsʋɑ̃,dəsʋɑ,dosom
